P,RT,G,by,
0.726027397,0.569745511,q1,q,
0.459016393,0.673715811,q1,q,
0.518518519,0.332138718,q1,q,
0.535714286,0.953024304,q1,q,
0.535211268,0.669790511,q1,q,
0.726027397,0.676927024,q3,q,
0.459016393,0.943093028,q3,q,
0.518518519,0.370869834,q3,q,
0.535714286,1.142757781,q3,q,
0.535211268,0.778377696,q3,q,
0.726027397,0.755515117,q5,q,
0.459016393,1.072109217,q5,q,
0.518518519,0.441566613,q5,q,
0.535714286,1.406562955,q5,q,
0.535211268,0.934090972,q5,q,
0.726027397,0.955344589,q7,q,
0.459016393,1.200456715,q7,q,
0.518518519,0.525238897,q7,q,
0.535714286,1.590590894,q7,q,
0.535211268,1.086678298,q7,q,
0.726027397,1.358651724,q9,q,
0.459016393,1.533565572,q9,q,
0.518518519,0.696506392,q9,q,
0.535714286,2.022818745,q9,q,
0.535211268,1.514179078,q9,q,
0.273972603,0.70426596,q1,Q,
0.540983607,0.728443815,q1,Q,
0.481481481,0.391140925,q1,Q,
0.464285714,0.953024304,q1,Q,
0.464788732,0.494424685,q1,Q,
0.273972603,0.825613525,q3,Q,
0.540983607,0.909078636,q3,Q,
0.481481481,0.442344251,q3,Q,
0.464285714,1.142757781,q3,Q,
0.464788732,0.721770332,q3,Q,
0.273972603,0.915416589,q5,Q,
0.540983607,1.01289104,q5,Q,
0.481481481,0.502711075,q5,Q,
0.464285714,1.406562955,q5,Q,
0.464788732,0.942905132,q5,Q,
0.273972603,1.198884463,q7,Q,
0.540983607,1.364594937,q7,Q,
0.481481481,0.638910249,q7,Q,
0.464285714,1.590590894,q7,Q,
0.464788732,1.244306855,q7,Q,
0.273972603,1.65607249,q9,Q,
0.540983607,1.571461053,q9,Q,
0.481481481,0.863659905,q9,Q,
0.464285714,2.022818745,q9,Q,
0.464788732,1.411105234,q9,Q,
