P,RT,G,by
0.419354839,0.788359688,q1,q
0.333333333,0.533916306,q1,q
0.296296296,0.440927572,q1,q
0.548387097,0.699147094,q1,q
0.384615385,0.789376692,q1,q
0.617647059,0.786468354,q1,q
0.689655172,0.562741335,q1,q
0.419354839,1.019785917,q3,q
0.333333333,0.698890106,q3,q
0.296296296,0.602677523,q3,q
0.548387097,0.836386267,q3,q
0.384615385,1.015242365,q3,q
0.617647059,0.853394339,q3,q
0.689655172,0.653714948,q3,q
0.419354839,1.396116633,q5,q
0.333333333,0.903349798,q5,q
0.296296296,0.743436944,q5,q
0.548387097,1.005358166,q5,q
0.384615385,1.20085775,q5,q
0.617647059,1.109151836,q5,q
0.689655172,0.90212947,q5,q
0.419354839,2.054956012,q7,q
0.333333333,1.003110955,q7,q
0.296296296,0.835419893,q7,q
0.548387097,1.22965892,q7,q
0.384615385,1.660790555,q7,q
0.617647059,1.36042231,q7,q
0.689655172,1.02583541,q7,q
0.419354839,2.270789641,q9,q
0.333333333,1.302623088,q9,q
0.296296296,1.833526964,q9,q
0.548387097,1.571273217,q9,q
0.384615385,1.851660243,q9,q
0.617647059,1.681239061,q9,q
0.689655172,1.656476557,q9,q
0.580645161,0.68440586,q1,Q
0.666666667,0.486736363,q1,Q
0.703703704,0.533870327,q1,Q
0.451612903,0.684526263,q1,Q
0.615384615,0.895601558,q1,Q
0.382352941,0.759859251,q1,Q
0.310344828,0.498012084,q1,Q
0.580645161,0.84197635,q3,Q
0.666666667,0.746555699,q3,Q
0.703703704,0.618346424,q3,Q
0.451612903,0.784169599,q3,Q
0.615384615,0.985593052,q3,Q
0.382352941,0.956429267,q3,Q
0.310344828,0.544321136,q3,Q
0.580645161,1.057641819,q5,Q
0.666666667,0.83908875,q5,Q
0.703703704,0.754205003,q5,Q
0.451612903,0.844733873,q5,Q
0.615384615,1.021747127,q5,Q
0.382352941,1.147656067,q5,Q
0.310344828,0.737722565,q5,Q
0.580645161,1.345979599,q7,Q
0.666666667,1.115669804,q7,Q
0.703703704,0.901500385,q7,Q
0.451612903,0.9222212,q7,Q
0.615384615,1.335003621,q7,Q
0.382352941,1.617161527,q7,Q
0.310344828,0.925623671,q7,Q
0.580645161,1.4056421,q9,Q
0.666666667,1.926732455,q9,Q
0.703703704,1.05631945,q9,Q
0.451612903,1.261864159,q9,Q
0.615384615,2.014857704,q9,Q
0.382352941,1.668963007,q9,Q
0.310344828,1.595581426,q9,Q
